"country","ethnicFractionalization","linguisticFractionalization","religiousFractionalization","pop2021"
"Uganda","0.9302","0.9227","0.6332","47123.5310"
"Liberia","0.9084","0.9038","0.4883","5180.2030"
"Madagascar","0.8791","0.0204","0.5191","28427.3280"
"Republic of the Congo","0.8747","0.6871","0.6642","5657.0130"
"DR Congo","0.8747","0.8705","0.7021","92377.9930"
"Cameroon","0.8635","0.8898","0.7338","27224.2650"
"Chad","0.8620","0.8635","0.6411","16914.9850"
"Kenya","0.8588","0.8860","0.7765","54985.6980"
"Nigeria","0.8505","0.8316","0.7421","211400.7080"
"Central African Republic","0.8295","0.8334","0.7916","4919.9810"
"Ivory Coast","0.8204","0.7842","0.7551","27053.6290"
"Sierra Leone","0.8191","0.7634","0.5395","8141.3430"
"Somalia","0.8117","0.0326","0.0028","16359.5040"
"Guinea-Bissau","0.8082","0.8141","0.6128","2015.4940"
"Djibouti","0.7962","0.6558","0.0435","1002.1870"
"Libya","0.7920","0.0758","0.0570","6958.5320"
"Benin","0.7872","0.7905","0.5544","12451.0400"
"Angola","0.7867","0.7870","0.6276","33933.6100"
"Gambia","0.7864","0.8076","0.0970","2486.9450"
"Zambia","0.7808","0.8734","0.7359","18920.6510"
"Afghanistan","0.7693","0.6141","0.2717","39835.4280"
"Gabon","0.7690","0.7821","0.6674","2278.8250"
"South Africa","0.7517","0.8652","0.8603","60041.9940"
"Qatar","0.7456","0.4800","0.0950","2930.5280"
"Bolivia","0.7396","0.2240","0.2085","11832.9400"
"Guinea","0.7389","0.7725","0.2649","13497.2440"
"Burkina Faso","0.7377","0.7228","0.5798","21497.0960"
"Tanzania","0.7353","0.8983","0.6334","61498.4370"
"Indonesia","0.7351","0.7680","0.2340","276361.7830"
"Suriname","0.7332","0.3310","0.7910","591.8000"
"Ethiopia","0.7235","0.8073","0.6249","117876.2270"
"Sudan","0.7147","0.7190","0.4307","44909.3530"
"Andorra","0.7139","0.6848","0.2326","77.3550"
"Canada","0.7124","0.5772","0.6958","38067.9030"
"Togo","0.7099","0.8980","0.6596","8478.2500"
"Pakistan","0.7098","0.7190","0.3848","225199.9370"
"Belize","0.7015","0.6303","0.5813","404.9140"
"Micronesia","0.7005","0.7483","0.6469","116.2540"
"Senegal","0.6939","0.7081","0.1497","17196.3010"
"Mozambique","0.6932","0.8125","0.6759","32163.0470"
"Mali","0.6906","0.8388","0.1820","20855.7350"
"Monaco","0.6838","0.7305","0.3047","39.5110"
"Kyrgyzstan","0.6752","0.5949","0.4470","6628.3560"
"Malawi","0.6744","0.6023","0.8192","19647.6840"
"Ghana","0.6733","0.6731","0.7987","31732.1290"
"Iran","0.6684","0.7462","0.1152","85028.7590"
"Nepal","0.6632","0.7167","0.1417","29674.9200"
"Kuwait","0.6604","0.3444","0.6745","4328.5500"
"Peru","0.6566","0.3358","0.1988","33359.4180"
"Ecuador","0.6550","0.1308","0.1417","17888.4750"
"Eritrea","0.6524","0.6530","0.4253","3601.4670"
"Niger","0.6518","0.6519","0.2013","25130.8170"
"Trinidad and Tobago","0.6475","0.1251","0.7936","1403.3750"
"Thailand","0.6338","0.6344","0.0994","69950.8500"
"Namibia","0.6329","0.7005","0.6626","2587.3440"
"Bosnia and Herzegovina","0.6300","0.6751","0.6851","3263.4660"
"United Arab Emirates","0.6252","0.4874","0.3310","9991.0890"
"Guyana","0.6195","0.0688","0.7876","790.3260"
"Kazakhstan","0.6171","0.6621","0.5898","18994.9620"
"Mauritania","0.6150","0.3260","0.0149","4775.1190"
"Bhutan","0.6050","0.6056","0.3787","779.8980"
"Colombia","0.6014","0.0193","0.1478","51265.8440"
"Jordan","0.5926","0.0396","0.0659","10269.0210"
"Cuba","0.5908","0","0.5059","11317.5050"
"Malaysia","0.5880","0.5970","0.6657","32776.1940"
"Latvia","0.5867","0.5795","0.5556","1866.9420"
"Nauru","0.5832","0.6161","0.6194","10.8760"
"Serbia","0.5736","0","0","8697.5500"
"Liechtenstein","0.5726","0.2246","0.3343","38.2500"
"Belgium","0.5554","0.5409","0.2127","11632.3260"
"Moldova","0.5535","0.5533","0.5603","4024.0190"
"Panama","0.5528","0.3873","0.3338","4381.5790"
"Fiji","0.5479","0.5479","0.5682","902.9060"
