"Country Code","Country.x","GDP per capita (current US$)","Health expenditure per capita (current US $)","Poverty head count ratio at $1.90 a day (% of population)","Poverty head count ratio at $3.20 a day (% of population)","Poverty headcount ratio at $5.50 a day (% of population)","Gini index (World Bank estimate)","Adult Literacy rate (% of people ages 15 and above)","Gender Parity Index (GPI)","Education, at least completed primary, population 25+ years, total (%) (cumulative)","Education, at least completed upper secondary, population 25+, total (%) (cumulative)","Education, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Nurses and midwives (per 1,000 people)","Physicians (per 1,000 people)","Hospital beds (per 1,000 people)","Refugee population by country or territory of asylum","Gender Inequality Index (GII)","DTP (Child Vax)","MEASLES (Child Vax)","CPI score 2020 (Corruption Index)","ethnicFractionalization","linguisticFractionalization","religiousFractionalization","stringency_index","Flu Vax Value","Government Effectiveness Index Rank","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","population","population_density","aged_65_older","cum_first_doses","cum_second_doses","cum_additional1_doses","cum_unknown_doses","total_population","percent_atleast_onedose_total_pop","percent_fully_vaccinated_total_pop","percent_boosted_total_pop","total_doses_received","total_doses_exported","available_doses","percent_doses_utilised","unknown_dose_hcw","hcw_population","percent_atleast_onedose_hcw","percent_fully_vaccinated_hcw","percent_boosted_hcw","unknown_dose_ltcf","ltcf_population","percent_atleast_onedose_ltcf","percent_fully_vaccinated_ltcf","percent_boosted_ltcf","unknown_dose_above60","above60_population","percent_atleast_onedose_above60","percent_fully_vaccinated_above60","percent_boosted_above60"
"ALB","Albania",5246.29230634793,274.91409302,1.3,8.2,33.8,33.2,98.1411514282227,1.02399003505707,95.5083923339844,45.2791481018066,12.8996601104736,5.088,1.6471,2.89,115,0.181,NA,NA,36,0.2204,0.0399,0.4719,46.3,NA,"48.076923370361328",2356290,1155638,1049525,TRUE,11284,5901,82.02,40.23,36.53,TRUE,2054,2002,0.07,2872934,104.871,13.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND","Andorra",40897.3308728669,2821.80126953,NA,NA,NA,NA,100,NA,96.5188369750977,47.3496894836426,21.0465507507324,4.0128,3.3333,2.5,NA,NA,NA,NA,NA,0.7139,0.6848,0.2326,59.26,NA,"96.634613037109375",135421,57643,53046,TRUE,NA,650,175.07,74.52,68.58,TRUE,8403,28,0.036,77354,163.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARM","Armenia",4266.01807420946,422.28268433,1.1,9.8,44,29.9,99.7886123657227,1.03190994262695,99.3389282226563,89.880859375,24.2097206115723,4.3683,4.4023,4.2,107930,0.245,NA,NA,49,0.1272,0.1291,0.4576,NA,NA,"48.557693481445313",1660256,944784,714685,TRUE,NA,6690,55.94,31.83,24.08,FALSE,2254,2337,0.079,2968128,102.931,11.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT","Austria",48586.8013213238,5326.43701172,0.6,0.7,1,30.8,98,0.980939984321594,NA,80.6740493774414,15.3636302947998,7.0891,5.2114,7.27,141866,0.069,85,94,76,0.1068,0.1522,0.4146,62.5,NA,"94.711540222167969",16479582,6633718,6496224,TRUE,8851,32325,182.23,73.36,71.84,TRUE,3575,3258,0.036,9043072,106.749,19.202,6632141,5905855,3954408,0,8901064,0.745095305460111,0.702321317990748,0.444262393799213,26283043,3311950,22971093,0.71796339860711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2259262,0.935621012525329,0.90752732529472,0.745662079032888
"AZE","Azerbaijan",4221.40747847848,165.7674408,0,0,7,26.6,99.7959823608398,1.00514996051788,98.5110015869141,88.4195785522461,15.7220296859741,6.4338,3.446,4.82,1582,0.323,NA,NA,30,0.2047,0.2054,0.4899,52.78,NA,"44.711540222167969",11346166,5169382,4676520,TRUE,28059,24144,110.98,50.56,45.74,TRUE,2362,2293,0.022,10223344,119.309,6.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEL","Belgium",45159.3482229717,4912.70068359,0.1,0.1,0.2,27.2,99,1.0791300535202,96.7423629760742,71.4462585449219,35.3040084838867,11.808,5.9556,5.58,65033,0.043,98,96,76,0.5554,0.5409,0.2127,48.15,59.1,"83.653846740722656",21677090,8918608,8808458,TRUE,5166,45802,186.35,76.67,75.72,TRUE,3937,959,0.008,11632334,375.564,18.571,8909462,8377379,4372829,0,11522440,0.773227024831546,0.763683386504942,0.379505469327677,23426525,2457150,20969375,1.03291919763941,0,522231,0.840166516350044,0.840746719363653,0,0,NA,NA,NA,NA,0,2928626,0.947513612185373,0.940152139604033,0.808252060864037
"BGR","Bulgaria",10079.2033812203,689.90539551,0.9,2.2,6.9,41.3,98.3524475097656,0.985469996929169,96.9907836914063,77.7781982421875,26.0534706115723,4.7853,4.2071,7.45,21168,0.206,NA,NA,44,0.4021,0.3031,0.5965,50,NA,"50.480770111083984",3700660,NA,1914910,TRUE,3592,6748,53.66,NA,27.77,TRUE,978,NA,NA,6896655,65.18,20.801,1978729,1452893,275060,0,6951482,0.284648510921844,0.276011072171373,0.0395685409240792,8305070,0,8305070,0.446315563866409,0,243600,0.289076354679803,0.283362068965517,0.0969334975369458,0,15000,0.432733333333333,0.401066666666667,0.0579333333333333,0,1978904,0.367810161584392,0.357714674385417,0.0885550789730073
"BIH","Bosnia and Herzegovina",6079.73828544838,539.54663086,0.1,0.7,3.8,33,96.9917678833008,NA,91.4224395751953,69.086181640625,10.5902099609375,5.7333,2.1616,3.49,5257,0.149,NA,NA,35,0.63,0.6751,0.6851,35.19,NA,"15.384614944458008",1553874,833233,720631,NA,NA,13791,47.61,25.53,22.08,NA,4226,5949,0.182,3263459,68.496,16.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLR","Belarus",6424.15217642722,356.25073242,0,0,0.2,25.3,99.8740005493164,0.99057000875473,99.7885513305664,94.7378082275391,28.303539276123,11.0027,5.1905,10.83,2915,0.118,NA,NA,47,0.3222,0.4666,0.6116,19.44,NA,"23.076923370361328",8651776,4905934,3570521,TRUE,NA,67398,91.62,51.95,37.81,TRUE,7137,39278,0.416,9442867,46.858,14.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHE","Switzerland",87097.0364503764,9870.6640625,0,0,0.1,33.1,99,0.968580007553101,NA,86.6450271606445,NA,17.8949,4.3328,4.63,115868,0.025,95.9,96,85,0.5314,0.5441,0.6083,50,NA,"99.519233703613281",13852541,5975987,5830314,TRUE,18595,43963,158.94,68.57,66.9,TRUE,5044,1757,0.02,8715494,214.243,18.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
